Unnamed: 0,claim_text,premise_texts,year,quarter,label,argument,temporal_label,,,,,
1142,"And I think when you look at the value, I think we feel good about the opportunity to continue to move these users including new first-line or frontline users that we've not had access before.",We got room on user growth which you continue to see that number go up across segments. And weve got room in ARPU which youve continued to see us have.,2019,Q1,0,"And I think when you look at the value, I think we feel good about the opportunity to continue to move these users including new first-line or frontline users that we've not had access before. We got room on user growth which you continue to see that number go up across segments. And weve got room in ARPU which youve continued to see us have.",0,Correct,,,,
1149,"And so as I back up from this and look at the larger picture, I think China is not weak as has been talked about.",If you look at Mainland China which is one that I am personally very focused on we are down 11% in Mainland China on a reported basis. On a constant currency basis were only down 7%. And the way that we really look at the health or underlying demand is look at sell-through. And if you look at it there we were down 5%. And keep in mind that thats down 5% on a comp a year ago that was up 81%.,2016,Q2,1,"And so as I back up from this and look at the larger picture, I think China is not weak as has been talked about. If you look at Mainland China which is one that I am personally very focused on we are down 11% in Mainland China on a reported basis. On a constant currency basis were only down 7%. And the way that we really look at the health or underlying demand is look at sell-through. And if you look at it there we were down 5%. And keep in mind that thats down 5% on a comp a year ago that was up 81%.",0,Wrong,,,,
2091,And I think we're seeing impressive growth in all of those areas.,We have more advertisers using the ability to target their ads to the right person. We have more advertisers experimenting with different formats. Stories on Instagram are a very promising one and were seeing some nice experimentation there. And we have more advertisers really embracing the measurement that helps close the loop and helps make their ads more effective.,2018,Q1,0,And I think we're seeing impressive growth in all of those areas. We have more advertisers using the ability to target their ads to the right person. We have more advertisers experimenting with different formats. Stories on Instagram are a very promising one and were seeing some nice experimentation there. And we have more advertisers really embracing the measurement that helps close the loop and helps make their ads more effective.,0,Correct,,,,
27,And so you should take from our filing that we viewed it as we didn't see another way forward.,I dont like litigation and view it as a last resort. They were insisting on charging royalties for technologies that they had nothing to do with. And so we were in a situation where the more we innovated with unique features like Touch ID or advanced displays or cameras just to name a few the more money Qualcomm would collect for no reason and the more expensive it would be therefore for us to innovate. And so its somewhat like buying a sofa and you charge somebody a different price depending upon the price of the house that it goes into. In addition to that as a part of their increasingly radical steps they were taking to try to hold up that model they withheld $1 billion in payments that they owed us.,2017,Q1,0,And so you should take from our filing that we viewed it as we didn't see another way forward. I dont like litigation and view it as a last resort. They were insisting on charging royalties for technologies that they had nothing to do with. And so we were in a situation where the more we innovated with unique features like Touch ID or advanced displays or cameras just to name a few the more money Qualcomm would collect for no reason and the more expensive it would be therefore for us to innovate. And so its somewhat like buying a sofa and you charge somebody a different price depending upon the price of the house that it goes into. In addition to that as a part of their increasingly radical steps they were taking to try to hold up that model they withheld $1 billion in payments that they owed us.,0,Correct,,,,
426,Those are the kinds of things that we are excited about.,If you look at what we are doing with SQL we will have the ability for any customer of SQL to stretch even a single table from between their on-premise to the cloud.,2016,Q1,0,Those are the kinds of things that we are excited about. If you look at what we are doing with SQL we will have the ability for any customer of SQL to stretch even a single table from between their on-premise to the cloud.,0,Correct,,,,
126,"In fact, I think of our servers as the edge of our cloud.",So the unique capability we now have in Windows Server SQL Server is becoming that much more competitive. Because we’re running our public cloud in it and that’s what anyone deploying their own private cloud expects to have.,2015,Q3,0,"In fact, I think of our servers as the edge of our cloud. So the unique capability we now have in Windows Server SQL Server is becoming that much more competitive. Because we’re running our public cloud in it and that’s what anyone deploying their own private cloud expects to have.",0,Correct,,,,
908,"But in general, we're very happy with that team and the progress they're making.",If it will help I will tell you that again were now over $14 billion run rate. You clearly see our – we break out very clearly our AWS segment revenue and operating income and youll also keep in mind that theres price decreases that are part of the business and were pretty public when we do those. And if you remember last call I mentioned that we had seven price decreases that were timed for December 1. So about a third of the impact of those was seen in Q4 and then again thats one element of the sequential operating margin.,2017,Q1,0,"But in general, we're very happy with that team and the progress they're making. If it will help I will tell you that again were now over $14 billion run rate. You clearly see our – we break out very clearly our AWS segment revenue and operating income and youll also keep in mind that theres price decreases that are part of the business and were pretty public when we do those. And if you remember last call I mentioned that we had seven price decreases that were timed for December 1. So about a third of the impact of those was seen in Q4 and then again thats one element of the sequential operating margin.",2,Wrong,,,,
234,"So yeah, we looking forward to a great holiday and that includes working with our shipping partners both in the U.S. and globally.",Weve worked very closely with them to line up capacity share capacity plans. We certainly have additional delivery capability of our own. But with all of our partners we work well in advance of the holiday to get our plans in place.,2016,Q3,0,"So yeah, we looking forward to a great holiday and that includes working with our shipping partners both in the U.S. and globally. Weve worked very closely with them to line up capacity share capacity plans. We certainly have additional delivery capability of our own. But with all of our partners we work well in advance of the holiday to get our plans in place.",0,Correct,,,,
1217,I'm always a little vary to put too much into the unit growth number.,As Ive talked in other quarters its a number thats excludes AWS subscription services advertising and Whole Foods which are some of the fastest growing areas and we also have – are actively selling subscription services like Kindle Unlimited and Amazon Music Unlimited which can cannibalize unit sales.,2019,Q2,0,I'm always a little vary to put too much into the unit growth number. As Ive talked in other quarters its a number thats excludes AWS subscription services advertising and Whole Foods which are some of the fastest growing areas and we also have – are actively selling subscription services like Kindle Unlimited and Amazon Music Unlimited which can cannibalize unit sales.,0,Correct,,,,
837,"So that increment, that acceleration in desktop revenue growth is largely due to our efforts on reducing the impact of ad blocking.",On ad blocking in terms of the impact I would just point out that this quarter we had 18% year-over-year desktop revenue growth. If you look at recent quarters it was about half of that growth rate on a year-over-year basis.,2016,Q3,2,"So that increment, that acceleration in desktop revenue growth is largely due to our efforts on reducing the impact of ad blocking. On ad blocking in terms of the impact I would just point out that this quarter we had 18% year-over-year desktop revenue growth. If you look at recent quarters it was about half of that growth rate on a year-over-year basis.",0,Wrong,,,,
1333,"The way I tend to think about it is, with any service you want the gross margin itself to improve, and that includes in the Azure services components themselves.",The difference between core compute in-store versus the premium layers can be significant and we’ve had improvements across all of them. Anyhow we saw significant improvement this year. We expect a lot of improvement again next year on each of those service lines. And where the actual mix occurs among those lines I think we will just have to wait and see but that’s why I tend to not focus at that layer it’s like can you get every service better can you make material improvement and then of course can you get usage and consumption going that leads to premium service usage and of course over time you’d expect a higher mix of premium versus core.,2017,Q4,1,"The way I tend to think about it is, with any service you want the gross margin itself to improve, and that includes in the Azure services components themselves. The difference between core compute in-store versus the premium layers can be significant and we’ve had improvements across all of them. Anyhow we saw significant improvement this year. We expect a lot of improvement again next year on each of those service lines. And where the actual mix occurs among those lines I think we will just have to wait and see but that’s why I tend to not focus at that layer it’s like can you get every service better can you make material improvement and then of course can you get usage and consumption going that leads to premium service usage and of course over time you’d expect a higher mix of premium versus core.",0,Wrong,,,,
1650,I think that's going to be a much better experience that people really enjoy and like.,And if we can make it so that you can have some of those interactions in an automated way where you fire off a text and then just get a response back quickly but asynchronously so it doesnt take up your full attention then,2016,Q2,0,I think that's going to be a much better experience that people really enjoy and like. And if we can make it so that you can have some of those interactions in an automated way where you fire off a text and then just get a response back quickly but asynchronously so it doesnt take up your full attention then,0,Correct,,,,
1208,So that should be well received by the Indian consumer base.,We also recently announced Echo and Alexa are available in India.,2017,Q3,0,So that should be well received by the Indian consumer base. We also recently announced Echo and Alexa are available in India.,0,Correct,,,,
422,"If you look at iPhone 6 today, and add iPhone 6 Plus and compare that to last year’s 5s we are doing better, at that price point than we were previously.",The iPhone 6s is the most popular iPhone that we currently sell.,2015,Q4,2,"If you look at iPhone 6 today, and add iPhone 6 Plus and compare that to last year’s 5s we are doing better, at that price point than we were previously. The iPhone 6s is the most popular iPhone that we currently sell.",0,Wrong,,,,
632,The same – my same response applies and I think we'll do quite good in iPhone. I,do believe well grow this quarter as we put in our guidance that when you start with a number in the low 30s in terms of the percentage of the installed base that’s upgraded that had a phone pre the iPhone 6 and 6 Plus that number still likely to leave a lot of headroom beyond December. I do think that the sort of the macro things that I spoke about earlier the upgrade programs the Android Switcher rate the iPhone momentum in the emerging markets and the LTE penetration in these markets these trends are not one quarter things. These are longer term things.,2015,Q4,0,The same – my same response applies and I think we'll do quite good in iPhone. I do believe well grow this quarter as we put in our guidance that when you start with a number in the low 30s in terms of the percentage of the installed base that’s upgraded that had a phone pre the iPhone 6 and 6 Plus that number still likely to leave a lot of headroom beyond December. I do think that the sort of the macro things that I spoke about earlier the upgrade programs the Android Switcher rate the iPhone momentum in the emerging markets and the LTE penetration in these markets these trends are not one quarter things. These are longer term things.,0,Correct,,,,
1133,And so what's happening is that SMBs are turning to Facebook pages as their mobile solution.,And setting up a mobile app getting people to find and download a mobile app can be even more expensive. Theyre free theyre easy to set up and they already know how to do them because almost all of them are already Facebook users in the first place.,2016,Q1,0,And so what's happening is that SMBs are turning to Facebook pages as their mobile solution. And setting up a mobile app getting people to find and download a mobile app can be even more expensive. Theyre free theyre easy to set up and they already know how to do them because almost all of them are already Facebook users in the first place.,0,Correct,,,,
818,"But I have to tell you that given that we’ve launched in October, I'm actually unbelievably shocked, positively shocked at how many merchants were able to implement Apple Pay in the heart of their holiday season,",because generally most people sort of lock down and don’t do very much.,2015,Q1,0,"But I have to tell you that given that we’ve launched in October, I'm actually unbelievably shocked, positively shocked at how many merchants were able to implement Apple Pay in the heart of their holiday season, because generally most people sort of lock down and don’t do very much.",0,Correct,,,,
1513,And so the local competition is not new.,The local competition was obviously there this quarter and has been there for many quarters before.,2015,Q1,0,And so the local competition is not new. The local competition was obviously there this quarter and has been there for many quarters before.,0,Correct,,,,
733,I am actually going to cover in commercial segments as one,because really when you think about the commercial cloud its really about capturing the opportunity of selling more complete solutions which include dynamics and office plus some components of Azure which is I think really the trend youll see us talk about from here on out.,2017,Q1,0,I am actually going to cover in commercial segments as one because really when you think about the commercial cloud its really about capturing the opportunity of selling more complete solutions which include dynamics and office plus some components of Azure which is I think really the trend youll see us talk about from here on out.,0,Correct,,,,
982,We’re looking forward to investing in New York and Northern Virginia and being a good community partner as well as Nashville.,Of course in November we announce we selected New York City and Northern Virginia and between the two cities we will be investing $5 billion and creating more than 50000 jobs. We also announced a Operations Center of Excellence to be opened up in Nashville which is about -- estimated to be about 5000 jobs. So right now were working through some next issues in both cities.,2018,Q4,2,We’re looking forward to investing in New York and Northern Virginia and being a good community partner as well as Nashville. Of course in November we announce we selected New York City and Northern Virginia and between the two cities we will be investing $5 billion and creating more than 50000 jobs. We also announced a Operations Center of Excellence to be opened up in Nashville which is about -- estimated to be about 5000 jobs. So right now were working through some next issues in both cities.,0,Wrong,,,,
2075,And that’s an optimistic sign for me for the future.,But as Watch has grown it has proven to us that that these sub-experiences as part of our different apps similar with IGTV can be quite successful.,2019,Q1,0,And that’s an optimistic sign for me for the future. But as Watch has grown it has proven to us that that these sub-experiences as part of our different apps similar with IGTV can be quite successful.,0,Correct,,,,
2087,And so we see that as a huge opportunity.,Secondly I would say we were blown away by the level of Android switchers that we had last quarter. It was the highest ever by far.,2016,Q1,0,And so we see that as a huge opportunity. Secondly I would say we were blown away by the level of Android switchers that we had last quarter. It was the highest ever by far.,0,Correct,,,,
1355,"I think the specific ads will be part of how we do that, but it won't be the only way.",It will also be the targeting that we have and the targeting capabilities that were doing with things like Custom Audiences and getting better and better at that.,2015,Q1,0,"I think the specific ads will be part of how we do that, but it won't be the only way. It will also be the targeting that we have and the targeting capabilities that were doing with things like Custom Audiences and getting better and better at that.",0,Correct,,,,
1831,"If you think about the portion of our commercial cloud gross margins that come from depreciation, it's best to think of it as roughly half.",And actually its been going up as we began to get scale through these services over time actually. Some of the fixed costs frankly even in COGS tend to come down as a percentage over time.,2018,Q3,0,"If you think about the portion of our commercial cloud gross margins that come from depreciation, it's best to think of it as roughly half. And actually its been going up as we began to get scale through these services over time actually. Some of the fixed costs frankly even in COGS tend to come down as a percentage over time.",0,Correct,,,,
1688,But I think one of the successes you are seeing we’re having right now is that we are helping people move to Stories more quickly because of the lessons we learned.,So for example automatic placements what automatic placements do is they convert Feed ads into a Stories format and deliver the ads wherever they get their best results.,2019,Q2,0,But I think one of the successes you are seeing we’re having right now is that we are helping people move to Stories more quickly because of the lessons we learned. So for example automatic placements what automatic placements do is they convert Feed ads into a Stories format and deliver the ads wherever they get their best results.,0,Correct,,,,
1405,"So the issue is not that, and it’s not a market share number,",We think that what we know that if you look at the Fortune 500 as an example we’re in essentially all of the Fortune 500 companies. because our market share is extremely high.,2015,Q1,0,"So the issue is not that, and it’s not a market share number, We think that what we know that if you look at the Fortune 500 as an example we’re in essentially all of the Fortune 500 companies. because our market share is extremely high.",0,Correct,,,,
1930,"The number of developers that either have done something, or even more the case, that are working on things that I've seen are growing tremendously.",Theres a lot of interest out there and the number of categories that Im seeing from gaming to shopping to I was in China a few weeks ago and saw AR in an art sense in an art exhibit. I was in Berlin last week and saw it being used in a historical educational kind of sense.,2018,Q4,0,"The number of developers that either have done something, or even more the case, that are working on things that I've seen are growing tremendously. Theres a lot of interest out there and the number of categories that Im seeing from gaming to shopping to I was in China a few weeks ago and saw AR in an art sense in an art exhibit. I was in Berlin last week and saw it being used in a historical educational kind of sense.",0,Correct,,,,
780,"Yes, I am going to - if I add one thing, I will just say that nothing shows up in just one quarter.",We have been working on this for a long time whether it is the product and the approach we have taken from IaaS to PaaS to SaaS even the diversity of our SaaS offerings and also how we think about going to market. All of these have been multiple years of hard work and clearly there is momentum across the board and that I think is what you are seeing and we are excited about this quarters execution and performance and I think it bodes well for what we do in the future but the key is for us to recognize that this is about the sort of long-term commitment to a big opportunity in making sure that you line up your execution against that.,2017,Q4,1,"Yes, I am going to - if I add one thing, I will just say that nothing shows up in just one quarter. We have been working on this for a long time whether it is the product and the approach we have taken from IaaS to PaaS to SaaS even the diversity of our SaaS offerings and also how we think about going to market. All of these have been multiple years of hard work and clearly there is momentum across the board and that I think is what you are seeing and we are excited about this quarters execution and performance and I think it bodes well for what we do in the future but the key is for us to recognize that this is about the sort of long-term commitment to a big opportunity in making sure that you line up your execution against that.",0,Wrong,,,,
1506,"So that does have some impact on capital intensity and part of the driver, where we’re seeing kind of capital intensity increase over the – over the past several years.",The capital intensity of the business over the last several years had come up and part of what is driving that are real changes in the business as it relates to our opportunity to deploy capital against things like ads targeting as well as the fact that we’ve seen the user base growth shift to regions like Asia and we’re now building our CapEx to what’s effectively an Asian peak and so that’s a lower ARPU user base.,2019,Q1,1,"So that does have some impact on capital intensity and part of the driver, where we’re seeing kind of capital intensity increase over the – over the past several years. The capital intensity of the business over the last several years had come up and part of what is driving that are real changes in the business as it relates to our opportunity to deploy capital against things like ads targeting as well as the fact that we’ve seen the user base growth shift to regions like Asia and we’re now building our CapEx to what’s effectively an Asian peak and so that’s a lower ARPU user base.",0,Wrong,,,,
728,"And on a sequential basis, when we look into the June quarter, we expect to see another 40 basis points of negative impact from currency.",And I mentioned during the call in January that we were expecting FX to have a negative impact on a sequential basis of about 100 basis points after the effect of the hedges.,2015,Q2,2,"And on a sequential basis, when we look into the June quarter, we expect to see another 40 basis points of negative impact from currency. And I mentioned during the call in January that we were expecting FX to have a negative impact on a sequential basis of about 100 basis points after the effect of the hedges.",0,Wrong,,,,
1248,We're going to continue to invest in video and increase that investment in 2018.,Its because the video business is having great results with our most important customer base which is our Prime customers. It continues to drive better conversion of free trials higher membership renewal rates for existing subscribers and higher overall engagement. Were seeing the engagement go up year-after-year in video and also music and a lot of the other Prime benefits. We also know Prime members who watch video also spend more on Amazon. And we have a lot of data where thats the advantage we have is that we see the viewing patterns and we also see the sales patterns so we can tie the two together and understand which video resonates with Prime members which video doesnt and make mid course corrections.,2017,Q3,1,We're going to continue to invest in video and increase that investment in 2018. Its because the video business is having great results with our most important customer base which is our Prime customers. It continues to drive better conversion of free trials higher membership renewal rates for existing subscribers and higher overall engagement. Were seeing the engagement go up year-after-year in video and also music and a lot of the other Prime benefits. We also know Prime members who watch video also spend more on Amazon. And we have a lot of data where thats the advantage we have is that we see the viewing patterns and we also see the sales patterns so we can tie the two together and understand which video resonates with Prime members which video doesnt and make mid course corrections.,0,Wrong,,,,
1807,"We spent a tremendous amount of time on our seller business over the years and trying to improve both the experience for sellers, as well as customers.",And weve done a lot of interesting things to help sellers and that’s why you see the results that were seeing today 44% of our units today as of this quarter our third party units that’s up about 400 basis points from last year. Certainly one of the things that weve talked about its most that’s notable is fulfillment by Amazon. And so the benefit for sellers is they get to take advantage of our multi newer fulfillment network globally we have a 109 fulfillment centers globally as well as our customers get to take advantage of that as prime numbers where we offer in those geography.,2015,Q1,0,"We spent a tremendous amount of time on our seller business over the years and trying to improve both the experience for sellers, as well as customers. And weve done a lot of interesting things to help sellers and that’s why you see the results that were seeing today 44% of our units today as of this quarter our third party units that’s up about 400 basis points from last year. Certainly one of the things that weve talked about its most that’s notable is fulfillment by Amazon. And so the benefit for sellers is they get to take advantage of our multi newer fulfillment network globally we have a 109 fulfillment centers globally as well as our customers get to take advantage of that as prime numbers where we offer in those geography.",0,Correct,,,,
1832,"Now, if you think about some of the dynamics that we've been going through in the intelligent cloud segment, in particular the way I tend to think about that, as you've seen, we're now 20% growth this quarter in that server and product services KPI, 17% on a constant currency basis, and are sort of confident that you should continue to see that, as I said, into Q4 and then into FY 2019 as well.",I tend to think about that as well have significant revenue growth in that segment. Well have significant gross margin dollar growth in that segment and youll actually continue to see operating margin dollar growth thats significant in that segment even as we reinvest into it given the top line signal. If you think about gross margins in particular what youll see is Azure continuing to be a growing percentage of the total revenue growth.,2018,Q3,1,"Now, if you think about some of the dynamics that we've been going through in the intelligent cloud segment, in particular the way I tend to think about that, as you've seen, we're now 20% growth this quarter in that server and product services KPI, 17% on a constant currency basis, and are sort of confident that you should continue to see that, as I said, into Q4 and then into FY 2019 as well. I tend to think about that as well have significant revenue growth in that segment. Well have significant gross margin dollar growth in that segment and youll actually continue to see operating margin dollar growth thats significant in that segment even as we reinvest into it given the top line signal. If you think about gross margins in particular what youll see is Azure continuing to be a growing percentage of the total revenue growth.",0,Wrong,,,,
2127,"So, yeah, I would say essentially with that backdrop, we're still very, very encouraged by the demand and the reception from customers on the consumer side.",We have Amazon fulfilled units are still growing faster than paid units. 3P is now up to 53% of total paid units.,2018,Q3,0,"So, yeah, I would say essentially with that backdrop, we're still very, very encouraged by the demand and the reception from customers on the consumer side. We have Amazon fulfilled units are still growing faster than paid units. 3P is now up to 53% of total paid units.",0,Correct,,,,
1752,"I think we are starting, as Satya said, we started to see some impact from that in my opinion in Q4 in the on-prem KPI.",But it really was more in Windows.,2018,Q4,2,"I think we are starting, as Satya said, we started to see some impact from that in my opinion in Q4 in the on-prem KPI. But it really was more in Windows.",2,Correct,,,,
176,"We’ve opened a period of, however, long it takes to address regulators and different experts and constituents questions about this and then figure out what the best way to move forward is and that’s certainly what we’re planning to do with Libra.",So we worked with the 27 other members of the association to publish the white paper to put the idea out there expecting that this is a very important and heavily regulated area and there were going to be a lot of questions.,2019,Q2,0,"We’ve opened a period of, however, long it takes to address regulators and different experts and constituents questions about this and then figure out what the best way to move forward is and that’s certainly what we’re planning to do with Libra. So we worked with the 27 other members of the association to publish the white paper to put the idea out there expecting that this is a very important and heavily regulated area and there were going to be a lot of questions.",0,Correct,,,,
766,"On the first part of your question about original content, we have done some original content.",Its focused on Apple Music.,2017,Q3,0,"On the first part of your question about original content, we have done some original content. Its focused on Apple Music.",0,Correct,,,,
237,"Well, you know, Shannon, we've gone through different cycles.",In some cases our revenue growth exceeds our OpEx growth. In other cases like fiscal 19 it was the other way around.,2019,Q4,0,"Well, you know, Shannon, we've gone through different cycles. In some cases our revenue growth exceeds our OpEx growth. In other cases like fiscal 19 it was the other way around.",0,Correct,,,,
1889,"So that was one of our first forays in the live format that – one of the first forays in the live format where we had live ads and kind of, we're not only learning the technology, but learning to – learning that business.",Weve done some things like the Prime Original Series All or Nothing; the third seasons coming up soon focused on the Dallas Cowboys.,2018,Q1,0,"So that was one of our first forays in the live format that – one of the first forays in the live format where we had live ads and kind of, we're not only learning the technology, but learning to – learning that business. Weve done some things like the Prime Original Series All or Nothing; the third seasons coming up soon focused on the Dallas Cowboys.",0,Correct,,,,
1792,So what you're seeing in our results right now are very strong growth for Facebook and very strong growth for Instagram.,"We hit 3 million advertisers for Facebook. We hit 200,000 for Instagram and often the platforms really work together.",2016,Q1,0,"So what you're seeing in our results right now are very strong growth for Facebook and very strong growth for Instagram. We hit 3 million advertisers for Facebook. We hit 200,000 for Instagram and often the platforms really work together.",0,Correct,,,,
1599,"We learn from every Q4, this one was no exception.",We are already making plans for a smoother Q4 next year. We will continue to add fulfillment capacity we will work with FBA sellers on inventory stocking and timing and we think that theres things that we can do better as we do every year come out of fourth quarter with immense learnings,2016,Q1,2,"We learn from every Q4, this one was no exception. We are already making plans for a smoother Q4 next year. We will continue to add fulfillment capacity we will work with FBA sellers on inventory stocking and timing and we think that theres things that we can do better as we do every year come out of fourth quarter with immense learnings",2,Correct,,,,
800,"But I would say, in general, I think it's important to keep in mind that if we look around the world, we do see a lot of positive signs, but we also know that the macroeconomic environment is slowing down in a number of places around the world.",On the September quarter when I look at the sequential increase for iPhone units that we are expecting I would say that it is even with the sell-through adjustments that youve talked about its still pretty much in line with what weve seen in the past.,2016,Q3,2,"But I would say, in general, I think it's important to keep in mind that if we look around the world, we do see a lot of positive signs, but we also know that the macroeconomic environment is slowing down in a number of places around the world. On the September quarter when I look at the sequential increase for iPhone units that we are expecting I would say that it is even with the sell-through adjustments that youve talked about its still pretty much in line with what weve seen in the past.",0,Wrong,,,,
1779,"And I think in many ways Keith what we have done is a really a natural extension of some of the investments we’ve made over the past 18 months to add technical resources to be more present in customer accounts, to really drive their transformation towards success outcomes.",You are seeing it even in our intelligent cloud results for the last quarter and this quarter. We’re taking that learning over the past 18 months and really applying it at a broader scale across the sales force to put those resources where we feel confident that they will have a good long-term return in that next phase of transformation.,2017,Q4,2,"And I think in many ways Keith what we have done is a really a natural extension of some of the investments we’ve made over the past 18 months to add technical resources to be more present in customer accounts, to really drive their transformation towards success outcomes. You are seeing it even in our intelligent cloud results for the last quarter and this quarter. We’re taking that learning over the past 18 months and really applying it at a broader scale across the sales force to put those resources where we feel confident that they will have a good long-term return in that next phase of transformation.",0,Wrong,,,,
1717,"So, yeah, so, Justin, over time ad load has been one of the factors driving year-over-year growth.",Its just worth noting that it is up significantly from where we were two years ago.,2015,Q3,1,"So, yeah, so, Justin, over time ad load has been one of the factors driving year-over-year growth. Its just worth noting that it is up significantly from where we were two years ago.",0,Wrong,,,,
1660,So I feel good that we're staying on the trajectory that we showed in the projections.,I do think the work we showed at the analyst meeting on the importance of increasing the install base across Office and Exchange that it did occur again this quarter.,2015,Q4,0,So I feel good that we're staying on the trajectory that we showed in the projections. I do think the work we showed at the analyst meeting on the importance of increasing the install base across Office and Exchange that it did occur again this quarter.,0,Correct,,,,
89,"As I said earlier, we will be discussing capital allocation plans when we review our March quarter results.",And when you look at our track record of what we’ve done over the last several years you’ve seen that effectively we were returning to our investors essentially about 100% of our free cash flow.,2018,Q1,0,"As I said earlier, we will be discussing capital allocation plans when we review our March quarter results. And when you look at our track record of what we’ve done over the last several years you’ve seen that effectively we were returning to our investors essentially about 100% of our free cash flow.",0,Correct,,,,
832,"The other big influence is the same trends are happening in international with respect to FBA growth and the fact that our Amazon fulfill network, or the units we shipped, are growing at a much faster clip than our paid unit growth.",Last year we said that was a 40% – nearly 40% growth worldwide. So were making the investments in warehouses fulfillment capacity and delivery capacity to handle that. So theres a lot going on in international.,2017,Q1,1,"The other big influence is the same trends are happening in international with respect to FBA growth and the fact that our Amazon fulfill network, or the units we shipped, are growing at a much faster clip than our paid unit growth. Last year we said that was a 40% – nearly 40% growth worldwide. So were making the investments in warehouses fulfillment capacity and delivery capacity to handle that. So theres a lot going on in international.",0,Wrong,,,,
1782,But I like where we are.,Our revenues on Apple Music grew over 50% as Id mentioned earlier during the quarter and so some really really strong results.,2018,Q3,2,But I like where we are. Our revenues on Apple Music grew over 50% as Id mentioned earlier during the quarter and so some really really strong results.,0,Wrong,,,,
718,So what we're saying is just continued strong usage both by existing customers and signing new customers for – see increased pace of enterprise migrations as customers are having success with AWS and increasingly trying new services.,We are seeing people move more and more of their workflows to AWS and at a faster pace. And customers are moving databases to AWS as Aurora continues to grow at a very rapid clip.,2018,Q1,0,So what we're saying is just continued strong usage both by existing customers and signing new customers for – see increased pace of enterprise migrations as customers are having success with AWS and increasingly trying new services. We are seeing people move more and more of their workflows to AWS and at a faster pace. And customers are moving databases to AWS as Aurora continues to grow at a very rapid clip.,0,Correct,,,,
2063,"Yeah, I wouldn't call it pressure, Walter, just how I think about it.",Theres just an expiration base that comes up every quarter.,2018,Q1,0,"Yeah, I wouldn't call it pressure, Walter, just how I think about it. Theres just an expiration base that comes up every quarter.",0,Correct,,,,
1119,"So we are starting to get to that point Mark where you have a big base, which is still growing at a fast rate, and so especially ARR numbers can see big jumps in the one that you saw this quarter, and your right, Q4 is also historically quite a big quarter and this one certainly was as well.",When you think about you are right it is a big number and I feel very good about it and for the year on a pure basis it was $15 billion of commercial cloud revenue.,2017,Q4,1,"So we are starting to get to that point Mark where you have a big base, which is still growing at a fast rate, and so especially ARR numbers can see big jumps in the one that you saw this quarter, and your right, Q4 is also historically quite a big quarter and this one certainly was as well. When you think about you are right it is a big number and I feel very good about it and for the year on a pure basis it was $15 billion of commercial cloud revenue.",2,Wrong,,,,
170,"So that's, I think, one of a number of factors.",We launched month-to-month Prime last year and if you think about how that works customers are paying $10.99 per month as they go so theres less thats deferred.,2017,Q3,1,"So that's, I think, one of a number of factors. We launched month-to-month Prime last year and if you think about how that works customers are paying $10.99 per month as they go so theres less thats deferred.",0,Wrong,,,,
1595,"And so, we're seeing consumers adopting that and we're building products for them.",But what Mark alluded to was video is where people – as networks improve and devices improve and our products improve video is the most engaging experience that we can offer.,2017,Q2,0,"And so, we're seeing consumers adopting that and we're building products for them. But what Mark alluded to was video is where people – as networks improve and devices improve and our products improve video is the most engaging experience that we can offer.",0,Correct,,,,
1462,"From our point of view, this is a service we want to provide our customers.",And so were working very closely with the appropriate government agencies and we hope to make books and movies available again to our customers there.,2016,Q3,0,"From our point of view, this is a service we want to provide our customers. And so were working very closely with the appropriate government agencies and we hope to make books and movies available again to our customers there.",0,Correct,,,,
2167,"So in terms of experimenting with different content, I think we'll try a number of different things here.",In terms of working with folks to produce all kinds of content sports is probably something that well want to try at some point.,2017,Q1,0,"So in terms of experimenting with different content, I think we'll try a number of different things here. In terms of working with folks to produce all kinds of content sports is probably something that well want to try at some point.",0,Correct,,,,
198,"So as you can tell, we've been pretty transparent with our AWS revenue and income numbers we've been breaking it out for 2015 and we're very happy with the growth in absolute dollar terms and we're seeing a pick up from customers and their usage, their increased pace of enterprise migrations, increased adoption of our services especially our machine learning services.",And continually again AWS is being chosen as a partner to many companies because of our leadership position both in technology our vibrant partner ecosystem and also the stronger security that we offer.,2019,Q2,1,"So as you can tell, we've been pretty transparent with our AWS revenue and income numbers we've been breaking it out for 2015 and we're very happy with the growth in absolute dollar terms and we're seeing a pick up from customers and their usage, their increased pace of enterprise migrations, increased adoption of our services especially our machine learning services. And continually again AWS is being chosen as a partner to many companies because of our leadership position both in technology our vibrant partner ecosystem and also the stronger security that we offer.",1,Correct,,,,
1811,We do believe that some of our ad success is taking people from demand generation through demand fulfillment.,So we have multiple clients who will show an ad a video ad to everyone in the U.S. for example or to a big cohort of people and then theyll follow up with an ad that target on either Instagram or Facebook to people who engage with that first that then they can follow up with the next team and we are seeing as businesses are increasingly measuring your ad spend in terms of their real ROI for sales that even within our own platforms.,2017,Q4,0,We do believe that some of our ad success is taking people from demand generation through demand fulfillment. So we have multiple clients who will show an ad a video ad to everyone in the U.S. for example or to a big cohort of people and then theyll follow up with an ad that target on either Instagram or Facebook to people who engage with that first that then they can follow up with the next team and we are seeing as businesses are increasingly measuring your ad spend in terms of their real ROI for sales that even within our own platforms.,0,Correct,,,,
